0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
2483.5581,2575.438477,546.942,461.2432556,26372.5032,30747.42578,19380.2885,21377.05273,15688.9666,15058.38086,0.45,0,276.3301,339.0908203,64749.0385,71620.48438
2444.1008,2382.645508,609.1075,343.4794312,28549.9055,22889.80859,20835.5909,16154.46973,15652.7028,12937.73242,0.26,0.205847681,328.1362,341.6576843,68419.8037,57380.78906
2580.2163,2433.516113,613.6954,333.2440186,30330.1214,28097.26367,21958.0905,21348.36523,14371.56,13276.86035,4.7261,2.131994963,323.0957,409.6419373,70181.5054,66149.53906
2571.6107,2441.953125,643.3088,369.9105225,27721.9756,26957.31836,20447.4558,18939.2793,15671.762,14512.78809,0.6549,0.836022615,307.7241,315.7391968,67364.4919,63114.57422
2631.8813,2489.051758,586.8187,434.6139526,25962.7299,26371.62109,19811.838,20420.14063,14575.2572,14721.36133,0.3609,1.321527958,287.8629,362.8104248,63856.7489,64894.80078
2714.502,2601.090332,679.7823,463.0386658,28300.3262,30404.11914,21015.9478,21379.12109,15816.2498,15799.9834,0.5631,1.62959516,330.2283,305.9692078,68857.5995,71396.40625
2694.4744,2472.140381,627.0429,353.8761597,29088.6235,30638.90625,21201.5781,19946.70313,15814.9889,14799.25781,0.4631,0,300.5636,313.5443115,69727.7345,71241.35156
2726.0654,2578.519287,690.5915,445.8337708,28990.8716,32497.46094,21178.8141,23038.08008,15653.613,15367.44141,0.4751,1.390763998,306.3844,369.359314,69546.8151,74629.84375
2784.2152,2499.48999,620.149,432.4665833,28022.9946,28238.0957,21263.7421,21353,14632.5682,14054.36035,0.5589,1.813173771,301.1077,389.0653381,67625.3357,67291.82813
2700.3647,2473.629395,521.2029,365.2265015,25988.9783,27654.37109,20846.2194,22150.52539,13064.9144,12888.82324,0.4866,4.430859566,275.7859,415.430603,63397.9522,66520.17969
2468.696,2349.023926,535.5828,354.2547913,23186.4421,22722.42773,18950.7372,17169.68555,14998.3117,13277.99414,0.429,5.280000687,284.8469,408.9587708,60425.0457,57506.44141
2394.2501,2301.516357,466.6269,308.3339844,21003.5797,18448.91797,18242.2357,19142.95703,13067.6746,12819.4541,12.9381,11.49476242,289.7474,404.2463989,55477.0525,50847.26563
2515.2479,2329.173096,424.0043,297.4246216,20341.2105,21700.60547,17732.3935,18851.95313,13458.7509,12965.69531,2.1371,3.22385931,380.131,410.6117859,54853.8752,56905.70313
