date,sum,day,night,sum_c,day_c,night_c
2016/3/6,68605.1622,49992.1744,18321.0867,1378.9299,785.0099,593.9101
2016/3/7,68065.7274,47019.1189,19704.4142,247.0798,168.14,78.9299
2016/3/8,79388.317,55813.9676,22199.3092,1644.5976,1103.6993,540.888
2016/3/9,90209.7216,60716.1762,26343.3261,1472.9894,1003.42,469.5394
2016/3/10,98045.8453,62344.0853,29423.0493,753.16,612.3699,140.8001
2016/3/11,96730.8694,60157.1724,30700.0129,1041.9166,649.5872,392.3193
2016/3/12,93849.8499,60414.8296,28900.5748,1644.557,1203.07,441.4867
2016/3/13,92299.9977,62104.9537,25880.9171,421.8294,322.3209,99.5187
2016/3/14,82816.9811,54059.4793,25488.3513,1371.047,1010.9474,360.08
2016/3/15,86708.7322,55662.9473,27010.8013,2559.9721,1875.2218,684.7402
2016/3/16,79327.7806,51533.7978,24977.9034,957.8701,712.11,245.76
2016/3/17,76995.363,50384.6022,23299.0691,344.3901,233.5301,110.8799
2016/3/18,73546.4235,48434.6858,22364.5449,2206.3472,1661.2304,545.1165
2016/3/19,74115.9012,51603.7918,21216.7017,232.7552,160.9181,72.4514
2016/3/20,69627.4291,49900.982,19565.2373,1449.6299,1128.1299,321.4999
2016/3/21,70576.1853,49463.7277,20346.0399,2653.8399,1842.22,811.6199
2016/3/22,74244.5268,50790.9078,22149.6357,4075.8076,3548.7877,527.0299
2016/3/23,78508.4319,53022.2967,23256.1769,3831.3213,1908.5901,1922.6912
2016/3/24,81133.7217,53329.4445,24503.3099,952.49,690.82,261.6699
2016/3/25,79697.6728,51570.3644,25358.8553,1030.5531,701.4962,329.0569
2016/3/26,76931.5808,51401.8374,23673.5155,136.3033,54.8793,46.4315
2016/3/27,71234.5647,50267.4599,20869.2655,2151.7817,1702.0799,449.7017
2016/3/28,68664.7138,47963.2926,20976.5368,2260.96,1558.3801,702.5798
2016/3/29,68472.9933,46564.2039,20519.1739,653.5518,471.562,181.9901
2016/3/30,68082.287,47360.6684,20245.9196,1450.9294,1074.1503,376.7794
2016/3/31,69804.2281,46468.1209,20625.4872,1068.9327,543.898,525.0444
2016/4/1,67708.4821,45677.0793,20326.7888,1308.7509,770.2219,538.5287
2016/4/2,66216.6813,46903.0807,19050.6088,0.3552,0.3552,0
2016/4/3,62653.4009,46438.0572,17237.5091,1046.0444,695.3291,350.6948
2016/4/4,62533.42,46843.2971,17720.7012,572.5841,431.8035,140.8106
2016/4/5,64426.0129,47528.1471,18499.1136,848.7293,593.7211,246.9234
2016/4/6,68634.7058,50110.056,20005.8026,1035.1886,666.1388,369.1088
2016/4/7,69086.5682,50391.5586,20242.0245,1011.4218,733.6615,277.7702
2016/4/8,67752.3435,49321.4907,20241.4196,7.3091,5.3457,1.9634
2016/4/9,66172.8212,47661.3465,19552.6841,1441.9686,953.4798,488.4785
2016/4/10,62841.6404,47491.2572,17730.1268,1464.4498,882.0999,582.35
2016/4/11,62619.7007,47214.9434,18026.2437,2314.88,1684.4899,630.3902
2016/4/12,67084.6015,48482.4803,19722.3541,1678.4,1024.85,653.5501
2016/4/13,66387.6078,48178.0736,19919.8946,167.4815,164.4415,3.04
2016/4/14,65608.3712,47738.0072,19627.3223,2463.6546,1771.1248,692.5299
2016/4/15,63048.1772,45366.0884,18885.1951,2225.2048,1492.4425,732.7624
2016/4/16,64034.0565,48015.0993,18195.5673,4130.6298,2820.43,1310.1901
2016/4/17,61904.736,47086.6463,17537.8125,151.1196,94.6085,56.5
2016/4/18,61302.5714,43888.5641,17452.5144,6779.8584,3967.7198,2812.1382
2016/4/19,63891.0609,43925.6066,19014.5818,1324.1101,1013.7401,310.36
2016/4/20,64414.5688,45020.3829,18815.9174,1715.7099,1310.2199,405.4899
2016/4/21,65478.0041,46096.7823,19649.0271,2795.5254,1958.9555,836.5701
2016/4/22,62287.968,44518.8616,18414.855,4293.3174,2125.3646,2167.9528
2016/4/23,67422.2626,48191.8275,18850.7948,3.2306,2.1521,1.0785
2016/4/24,62146.4447,45808.962,17337.52,3796.3684,1418.1033,2378.2651
2016/4/25,60654.8738,45142.8019,16915.9605,4717.4825,3045.06,1672.4226
2016/4/26,66025.2193,47279.7518,18926.3913,1785.7133,1287.3899,498.3233
2016/4/27,66510.1427,48364.0205,19095.8485,2806.5898,1986.6097,819.9701
2016/4/28,65236.9623,46843.0351,19707.7064,3459.7701,2060.2999,1399.4701
2016/4/29,62900.1422,45213.1681,18764.1574,7056.7955,4184.857,2871.9386
2016/4/30,61837.267,45435.2638,18284.7702,1891.5398,1357.02,534.5201
2016/5/1,56883.503,43521.7254,17024.0628,0,0,0
2016/5/2,59981.581,45757.1343,16825.793,1518.5002,1274.24,244.2601
2016/5/3,58980.6666,44726.0834,17089.0534,0,0,0
2016/5/4,62960.3167,45898.0099,18907.8097,0,0,0
2016/5/5,64767.1967,47239.0059,19078.3827,1143.6444,533.3006,610.3738
2016/5/6,64616.977,47576.4419,19096.3959,1564.8714,897.7312,667.13
2016/5/7,62939.4789,46469.8997,18409.2137,1208.4201,788.1002,420.32
2016/5/8,60436.3279,45694.359,17182.828,3606.7317,2588.3017,1018.4298
2016/5/9,60016.3628,44424.2423,17416.6434,2210.91,1292.1801,918.73
2016/5/10,64490.3292,46499.3248,18789.4937,2227.422,1452.362,775.06
2016/5/11,62601.1275,44293.4511,18492.6418,0,0,0
2016/5/12,63962.017,42738.4434,19226.239,1880692.74,574864.6022,758637.6543
2016/5/13,63480.6809,41544.8476,18702.7651,3060.8138,2086.9447,973.8693
2016/5/14,63283.7955,42117.136,18660.9767,1756.0633,1354.3243,401.7189
2016/5/15,62870.8633,43371.467,17161.9847,4015.4248,2580.1047,1435.31
2016/5/16,60554.9124,41060.5724,17097.4169,2054.209,1705.5699,348.619
2016/5/17,63906.5934,42429.8138,18809.0461,22592.4801,15632.05,6960.4402
2016/5/18,64164.626,42590.4811,19006.4351,2635.485,1840.7442,794.7511
2016/5/19,63908.724,43035.3251,18849.003,5512.8169,4376.0785,1136.7284
2016/5/20,63043.8059,42674.0806,18649.5663,3725.68,3224.6602,501.0101
2016/5/21,66064.0893,45447.7844,18169.4645,1311.59,1153.42,158.1701
2016/5/22,60455.6991,42429.5751,16882.1116,3295.3295,2683.3283,612.0012
2016/5/23,61687.6128,40833.6954,17869.5495,7586.5155,5548.4219,2038.1033
2016/5/24,71655.6837,39171.343,18245.504,4940.7933,3172.1015,1768.6614
2016/5/25,67213.4593,44017.1033,19872.2361,2996.0601,2400.2501,595.8099
2016/5/26,67435.39,43748.7411,19963.9647,4436.7292,2184.8477,2251.8813
2016/5/27,66081.3228,42577.4592,19920.8735,2379.0137,1702.7294,676.3146
2016/5/28,65836.8922,44216.1019,18896.9726,0,0,0
